condition,unit_a,unit_b,dissimilarity
traditional,pel_001,spo_002,0.07856927581647999
traditional,pel_001,roi_001,0.01878010435100641
traditional,pel_001,roi_002,0.015553020543356944
traditional,pel_001,tp_001,0.01693544183880258
traditional,pel_001,tp_002,0.015324052922736309
traditional,pel_001,wac_001,0.023145060535428974
traditional,pel_001,wac_002,0.02578888630558085
traditional,pel_002,spo_001,0.02401732735580131
traditional,pel_002,spo_002,0.05642067850313359
traditional,pel_002,roi_001,0.01666703684354509
traditional,pel_002,roi_002,0.01529018940916127
traditional,pel_002,tp_001,0.012694131540772258
traditional,pel_002,tp_002,0.009859073763953785
traditional,pel_002,wac_001,0.024555369989284537
traditional,pel_002,wac_002,0.018470104202870097
traditional,spo_001,spo_002,0.017125531724710985
traditional,spo_001,roi_001,0.01939049124220449
traditional,spo_001,roi_002,0.023851280368146988
traditional,spo_001,tp_001,0.008513752657938078
traditional,spo_001,tp_002,0.01087700374624756
traditional,spo_001,wac_001,0.020620294774891468
traditional,spo_001,wac_002,0.012380457108439713
traditional,spo_002,roi_001,0.05538322573318655
traditional,spo_002,roi_002,0.06731512952199237
traditional,spo_002,tp_001,0.03916325702876444
traditional,spo_002,tp_002,0.03952909362463719
traditional,spo_002,wac_001,0.05099699371789246
traditional,spo_002,wac_002,0.028769592521686982
traditional,roi_001,roi_002,0.0030842645165245486
traditional,roi_001,tp_001,0.01008899548699882
traditional,roi_001,tp_002,0.008282694115977374
traditional,roi_001,wac_001,0.017929568516741545
traditional,roi_001,wac_002,0.016118668267013136
traditional,roi_002,tp_001,0.010877726066694127
traditional,roi_002,tp_002,0.010021160246434402
traditional,roi_002,wac_001,0.024734587314717338
traditional,roi_002,wac_002,0.0247201521639534
traditional,tp_001,tp_002,0.004530234697805224
traditional,tp_001,wac_001,0.02583740223082176
traditional,tp_001,wac_002,0.019758303950538125
traditional,tp_002,wac_001,0.026240008041565455
traditional,tp_002,wac_002,0.017082515552007127
traditional,wac_001,wac_002,0.005425569212716641
ai_scaffolding,be_001,be_002,0.0031582517412668265
ai_scaffolding,be_001,cac_001,0.009478603208620595
ai_scaffolding,be_001,cac_002,0.012222065655084657
ai_scaffolding,be_001,cm_001,0.00406627947176208
ai_scaffolding,be_001,cm_002,0.006045391378167508
ai_scaffolding,be_001,ltv_001,0.010039782733522129
ai_scaffolding,be_001,ltv_002,0.007418723271114702
ai_scaffolding,be_001,mos_001,0.017858398153634436
ai_scaffolding,be_001,mos_002,0.011170364960524815
ai_scaffolding,be_001,mkp_001,0.0135094342751646
ai_scaffolding,be_001,mkp_002,0.014897100105723649
ai_scaffolding,be_001,mix_001,0.00637979091853158
ai_scaffolding,be_001,mix_002,0.010617715337775668
ai_scaffolding,be_001,npv_001,0.020788073956397368
ai_scaffolding,be_001,npv_002,0.010005538322925611
ai_scaffolding,be_001,dol_001,0.012411182168065138
ai_scaffolding,be_001,dol_002,0.0030108894456986057
ai_scaffolding,be_001,pbp_001,0.013782846148097772
ai_scaffolding,be_001,pbp_002,0.013379554506639857
ai_scaffolding,be_001,pel_001,0.018257549289878994
ai_scaffolding,be_001,pel_002,0.011797006862335313
ai_scaffolding,be_001,spo_001,0.012339991157241825
ai_scaffolding,be_001,spo_002,0.03882187050959762
ai_scaffolding,be_001,roi_001,0.009954384299109553
ai_scaffolding,be_001,roi_002,0.027700804715457217
ai_scaffolding,be_001,tp_001,0.01202687702033689
ai_scaffolding,be_001,tp_002,0.008318623558213223
ai_scaffolding,be_001,wac_001,0.009617479518547967
ai_scaffolding,be_001,wac_002,0.024141976232516016
ai_scaffolding,be_002,cac_001,0.008665652410284497
ai_scaffolding,be_002,cac_002,0.007943433245006126
ai_scaffolding,be_002,cm_001,0.007510359426196711
ai_scaffolding,be_002,cm_002,0.006362234454582949
ai_scaffolding,be_002,ltv_001,0.010856789752810014
ai_scaffolding,be_002,ltv_002,0.00766574780557383
ai_scaffolding,be_002,mos_001,0.019439718444055343
ai_scaffolding,be_002,mos_002,0.013767338264235485
ai_scaffolding,be_002,mkp_001,0.019087953204032893
ai_scaffolding,be_002,mkp_002,0.021546960120773173
ai_scaffolding,be_002,mix_001,0.013649027238482603
ai_scaffolding,be_002,mix_002,0.01685999631225943
ai_scaffolding,be_002,npv_001,0.024685456293703556
ai_scaffolding,be_002,npv_002,0.012967425192771831
ai_scaffolding,be_002,dol_001,0.013997900081300418
ai_scaffolding,be_002,dol_002,0.0024604721251091366
ai_scaffolding,be_002,pbp_001,0.012270773785262423
ai_scaffolding,be_002,pbp_002,0.011363275921185911
ai_scaffolding,be_002,pel_001,0.024951008548892095
ai_scaffolding,be_002,pel_002,0.01453400428360585
ai_scaffolding,be_002,spo_001,0.013955693029355176
ai_scaffolding,be_002,spo_002,0.03739305937790627
ai_scaffolding,be_002,roi_001,0.012906672181176027
ai_scaffolding,be_002,roi_002,0.028805564842598108
ai_scaffolding,be_002,tp_001,0.016135974402372688
ai_scaffolding,be_002,tp_002,0.008888754286121792
ai_scaffolding,be_002,wac_001,0.011709095533885439
ai_scaffolding,be_002,wac_002,0.027268875439094176
ai_scaffolding,cac_001,cac_002,0.004508530311954195
ai_scaffolding,cac_001,cm_001,0.01064153230345799
ai_scaffolding,cac_001,cm_002,0.006949157027337449
ai_scaffolding,cac_001,ltv_001,0.007112782953706986
ai_scaffolding,cac_001,ltv_002,0.010282159228946153
ai_scaffolding,cac_001,mos_001,0.010111069350930535
ai_scaffolding,cac_001,mos_002,0.009354108009194007
ai_scaffolding,cac_001,mkp_001,0.025318221091331305
ai_scaffolding,cac_001,mkp_002,0.027822663745558307
ai_scaffolding,cac_001,mix_001,0.020495381365531085
ai_scaffolding,cac_001,mix_002,0.027031991129595645
ai_scaffolding,cac_001,npv_001,0.014480747756597911
ai_scaffolding,cac_001,npv_002,0.0024731806296396375
ai_scaffolding,cac_001,dol_001,0.019664734846136844
ai_scaffolding,cac_001,dol_002,0.009733972894948817
ai_scaffolding,cac_001,pbp_001,0.004518615105279622
ai_scaffolding,cac_001,pbp_002,0.0036112908898898732
ai_scaffolding,cac_001,pel_001,0.029496570066540717
ai_scaffolding,cac_001,pel_002,0.01626449600309343
ai_scaffolding,cac_001,spo_001,0.01623005149154111
ai_scaffolding,cac_001,spo_002,0.03446246058965474
ai_scaffolding,cac_001,roi_001,0.00725721225319409
ai_scaffolding,cac_001,roi_002,0.015572751907524718
ai_scaffolding,cac_001,tp_001,0.008840686336170078
ai_scaffolding,cac_001,tp_002,0.00859597311861493
ai_scaffolding,cac_001,wac_001,0.009614690527517511
ai_scaffolding,cac_001,wac_002,0.021001332862660593
ai_scaffolding,cac_002,cm_001,0.013276751401045894
ai_scaffolding,cac_002,cm_002,0.010212348777228208
ai_scaffolding,cac_002,ltv_001,0.012908021119981239
ai_scaffolding,cac_002,ltv_002,0.010756176397949901
ai_scaffolding,cac_002,mos_001,0.016949708198572
ai_scaffolding,cac_002,mos_002,0.017771299771145888
ai_scaffolding,cac_002,mkp_001,0.02042102356883746
ai_scaffolding,cac_002,mkp_002,0.02472156140785353
ai_scaffolding,cac_002,mix_001,0.02212461148271827
ai_scaffolding,cac_002,mix_002,0.025929095369554345
ai_scaffolding,cac_002,npv_001,0.015043715890371345
ai_scaffolding,cac_002,npv_002,0.009085686007983651
ai_scaffolding,cac_002,dol_001,0.01748451342048063
ai_scaffolding,cac_002,dol_002,0.012271706547057448
ai_scaffolding,cac_002,pbp_001,0.010032892295340656
ai_scaffolding,cac_002,pbp_002,0.007752427878435109
ai_scaffolding,cac_002,pel_001,0.030899310785353018
ai_scaffolding,cac_002,pel_002,0.019484877900416864
ai_scaffolding,cac_002,spo_001,0.028047968630860343
ai_scaffolding,cac_002,spo_002,0.05224940986277549
ai_scaffolding,cac_002,roi_001,0.009117233683173964
ai_scaffolding,cac_002,roi_002,0.017960197785032217
ai_scaffolding,cac_002,tp_001,0.017982534720444865
ai_scaffolding,cac_002,tp_002,0.015074310100503419
ai_scaffolding,cac_002,wac_001,0.018511648784972023
ai_scaffolding,cac_002,wac_002,0.03852372242218216
ai_scaffolding,cm_001,cm_002,0.0031577624633875034
ai_scaffolding,cm_001,ltv_001,0.010868034237416002
ai_scaffolding,cm_001,ltv_002,0.007926746999507128
ai_scaffolding,cm_001,mos_001,0.010687380545494785
ai_scaffolding,cm_001,mos_002,0.00703759823308947
ai_scaffolding,cm_001,mkp_001,0.011510427335694962
ai_scaffolding,cm_001,mkp_002,0.008641688621580546
ai_scaffolding,cm_001,mix_001,0.008445343364322011
ai_scaffolding,cm_001,mix_002,0.00977737106890586
ai_scaffolding,cm_001,npv_001,0.021925804547120342
ai_scaffolding,cm_001,npv_002,0.008518563107963062
ai_scaffolding,cm_001,dol_001,0.0065855910219868585
ai_scaffolding,cm_001,dol_002,0.005025019753773563
ai_scaffolding,cm_001,pbp_001,0.016731147965658
ai_scaffolding,cm_001,pbp_002,0.014510287668587085
