scenario,a,e,o,f,median_G,mean,n,lo90,hi90,lo95,hi95,share_beneficial_eps0.01,class_eps0.01,share_beneficial_eps0.02,class_eps0.02,share_beneficial_eps0.05,class_eps0.05
grid_o1.00_a0.25_e0.67,0.25,0.667,1.0,0.0,-0.1360712841606526,-0.1329027333240834,100,-0.15831628581513715,-0.09301761858719397,-0.16398437735123755,-0.08800216330351328,0.0,harmful,0.0,harmful,0.0,harmful
grid_o1.00_a0.25_e0.83,0.25,0.833,1.0,0.0,-0.12020339311269962,-0.11712360271284171,100,-0.13770762872744166,-0.0828729365677828,-0.14491618523923128,-0.07956356140022011,0.0,harmful,0.0,harmful,0.0,harmful
grid_o1.00_a0.25_e1.00,0.25,1.0,1.0,0.0,-0.10406921751306285,-0.10160704789174911,100,-0.12122651498690157,-0.07288629432653981,-0.12281545449876412,-0.07046631805396333,0.0,harmful,0.0,harmful,0.0,harmful
grid_o1.00_a0.40_e0.00,0.4,0.0,1.0,0.0,-0.1891778400507711,-0.1833629732164794,100,-0.22400671848891748,-0.1259017657129587,-0.2323186267243394,-0.11630419884955169,0.0,harmful,0.0,harmful,0.0,harmful
grid_o1.00_a0.40_e0.17,0.4,0.167,1.0,0.0,-0.1774006911188889,-0.17211900550256665,100,-0.20921176782010445,-0.11909210575924564,-0.21656826188840453,-0.10900042314877081,0.0,harmful,0.0,harmful,0.0,harmful
grid_o1.00_a0.40_e0.33,0.4,0.333,1.0,0.0,-0.1644844161305562,-0.1590198142250165,100,-0.19265891514659356,-0.11060570840527696,-0.1978377214324633,-0.1017088532254227,0.0,harmful,0.0,harmful,0.0,harmful
grid_o1.00_a0.40_e0.50,0.4,0.5,1.0,0.0,-0.14755062139737157,-0.14415232918072585,100,-0.17291096393418373,-0.1013578737900814,-0.1780128638191977,-0.0940775817014543,0.0,harmful,0.0,harmful,0.0,harmful
grid_o1.00_a0.40_e0.67,0.4,0.667,1.0,0.0,-0.1311403826529336,-0.12823966140178297,100,-0.1508314474701793,-0.09062343235492044,-0.15833525034453072,-0.08550945191105527,0.0,harmful,0.0,harmful,0.0,harmful
grid_o1.00_a0.40_e0.83,0.4,0.833,1.0,0.0,-0.11548566945361566,-0.11208874700345874,100,-0.13175250026174204,-0.08089493843431493,-0.1386374021922059,-0.07706544285253553,0.0,harmful,0.0,harmful,0.0,harmful
grid_o1.00_a0.40_e1.00,0.4,1.0,1.0,0.0,-0.09808427498480363,-0.0964110398061609,100,-0.11494158914550211,-0.06929518608718517,-0.11606277052768343,-0.06623554254007948,0.0,harmful,0.0,harmful,0.0,harmful
grid_o1.00_a0.55_e0.00,0.55,0.0,1.0,0.0,-0.18663127200993399,-0.18082157970884882,100,-0.22066927286114973,-0.12477284183162858,-0.2289677056222197,-0.1149830871599487,0.0,harmful,0.0,harmful,0.0,harmful
grid_o1.00_a0.55_e0.17,0.55,0.167,1.0,0.0,-0.17465626690176256,-0.1690943481604175,100,-0.20571931052215234,-0.11756552614663203,-0.21206887103293293,-0.10746724054290044,0.0,harmful,0.0,harmful,0.0,harmful
grid_o1.00_a0.55_e0.33,0.55,0.333,1.0,0.0,-0.15948499739846417,-0.15547981666150718,100,-0.18885235243819978,-0.10874916077008644,-0.1927719837482397,-0.0999645642730528,0.0,harmful,0.0,harmful,0.0,harmful
grid_o1.00_a0.55_e0.50,0.55,0.5,1.0,0.0,-0.14322665492659398,-0.14016399007264646,100,-0.16814864641249808,-0.09888369476680661,-0.17255017961787772,-0.09185238470397644,0.0,harmful,0.0,harmful,0.0,harmful
