level,key,metric,contrast,estimate,se,ci_low,ci_high,n_units,p,q_fdr,ci_excludes_0,wpm
stimulus,all,dispersion,U-T,-0.0006248673655175564,0.0001805654497472661,-0.0009891872704256295,-0.0002889952937877169,30,0.0005389445173654536,0.0005389445173654536,True,220
stimulus,all,dispersion,S-U,0.0006749794799580934,0.00010468786541201818,0.0004623683575934153,0.0008714307097442142,30,1.1367816811063445e-10,1.1367816811063445e-10,True,220
stimulus,all,entropy,S-T,-0.009628497739849782,0.002088802719072539,-0.01378553346599455,-0.005502208467122228,30,4.0348836120905e-06,4.0348836120905e-06,True,220
stimulus,all,entropy,U-T,0.004270108969527694,0.0014600031827082308,0.001534318155398929,0.00722842769060988,30,0.003447598631396181,0.003447598631396181,True,220
stimulus,all,entropy,S-U,-0.013898606709377476,0.0013874634918434464,-0.016606619370283612,-0.01124297611384258,30,1.279798077939324e-23,1.279798077939324e-23,True,220
stimulus,all,integration,S-T,-0.028702356544136682,0.010339449500970618,-0.049465970480120094,-0.009055408430645792,30,0.0055031476212621154,0.0055031476212621154,True,220
stimulus,all,integration,U-T,0.053539468698400434,0.011358263764454507,0.030635418763259554,0.07482111897843037,30,2.43256544517459e-06,2.43256544517459e-06,True,220
stimulus,all,integration,S-U,-0.08224182524253712,0.009375698387601952,-0.10128879603645823,-0.06437908863991942,30,1.7582016545020788e-18,1.7582016545020788e-18,True,220
network,Cont,auc,S-T,-1.7544648665520133,0.4197727150652036,-2.591265762113365,-0.9553656033747746,30,2.9207482401322207e-05,5.111309420231386e-05,True,180
network,Cont,auc,U-T,0.9269464012999559,0.3898994756177151,0.17635681201565098,1.7365305339192136,30,0.01743524396544004,0.01743524396544004,True,180
network,Cont,auc,S-U,-2.6814112678519693,0.28500265223810833,-3.2429102602132316,-2.1608420391720387,30,5.0387567428248085e-21,1.175709906659122e-20,True,180
network,Cont,mean,S-T,-0.00883398379749554,0.0021580748269976304,-0.013205827780378477,-0.004674169346563461,30,4.249912225666194e-05,7.43734639491584e-05,True,180
network,Cont,mean,U-T,0.0033598339188860324,0.0020170713489552038,-0.0005437995031566032,0.007378636767795813,30,0.09577336249759003,0.09577336249759003,False,180
network,Cont,mean,S-U,-0.012193817716381573,0.0013531989195077116,-0.014803141642040123,-0.009587210322697472,30,2.0399037182542591e-19,4.759775342593271e-19,True,180
network,Cont,peak,S-T,-0.0059308798598196035,0.007121314707652313,-0.01936094598173625,0.008860469730279381,30,0.40493781419401575,0.5669129398716221,False,180
