scenario,outcome,year,mean,median,n,lo90,hi90,lo95,hi95,prsup,share_draws_positive
free_choice_centaur,far,5,-0.03334530663304532,-0.03354431667391593,500,-0.040922096383933786,-0.02493942006474499,-0.04214422416417446,-0.024000473257659236,0.000929,0.0
free_choice_centaur,far,10,-0.03908536731439717,-0.03962653094315271,500,-0.0456573152053089,-0.02943344625489885,-0.04717206696746447,-0.027803536117651326,0.001407,0.0
free_choice_centaur,p_request,1,0.021330493329432827,0.02103184853019905,500,0.015149809587227888,0.028477064938874423,0.014484143407473287,0.030566923853096385,0.9937999999999999,1.0
free_choice_centaur,p_request,5,0.035055590291594566,0.03554532755163907,500,0.022385772603174658,0.046602138256061,0.019993575506570258,0.04866039030648871,0.999531,1.0
free_choice_centaur,p_request,10,0.04423144336299822,0.04634597040016637,500,0.027015174209782427,0.05468884166480984,0.024057473901470613,0.05541135023976402,0.9990129999999999,1.0
free_choice_centaur,retention,1,-0.01703883245948267,-0.016811436401390295,500,-0.022013530088865793,-0.012674074335211862,-0.02307807910163411,-0.012335060781366959,0.015492,0.0
free_choice_centaur,retention,5,-0.028375433610565975,-0.02838504463327879,500,-0.037289332281980614,-0.019515944010357587,-0.038571287026523085,-0.018488985348220806,0.000533,0.0
free_choice_centaur,retention,10,-0.03755228892140013,-0.03854603297260645,500,-0.04696004113830838,-0.0248643919385553,-0.04810330385011693,-0.022576170014464363,0.000798,0.0
free_choice_centaur,unaided,1,-0.019260771586714017,-0.018646112229113852,500,-0.026984621929422248,-0.012990847502688226,-0.02859066079634185,-0.012616582121647903,0.019321,0.0
free_choice_centaur,unaided,5,-0.03149430204230831,-0.031210188123285475,500,-0.04519369244079405,-0.01952943259159766,-0.04686345724332727,-0.018426510222606367,0.000929,0.0
free_choice_centaur,unaided,10,-0.04395670148881071,-0.04551847213651816,500,-0.05780612313083246,-0.025480851007392356,-0.05867878197874488,-0.023135116864910335,0.001407,0.0
scaffolding_nofade,D,1,-0.0053534259314917745,-0.005089719160590773,500,-0.008493609067799298,-0.0032413662836922553,-0.009215175691408084,-0.0029964476274996726,3e-06,0.0
scaffolding_nofade,D,5,-0.01093480425970819,-0.010517491638566292,500,-0.019315938962181995,-0.004454536274744133,-0.02169708867909672,-0.003826592618134114,0.0,0.0
scaffolding_nofade,D,10,-0.020325684667222448,-0.01934005699098701,500,-0.03650288805059881,-0.006661081146540221,-0.03919837957936834,-0.005100007241905172,2e-06,0.0
scaffolding_nofade,G,1,0.005019817412603425,0.0048870363402067785,500,0.003548471438840759,0.007114917897883922,0.003362425647327874,0.007724905350602248,0.999962,1.0
scaffolding_nofade,G,5,0.008847864271781686,0.008522645823899819,500,0.004651311739734219,0.01445980450231622,0.004292266788307258,0.01573369841118284,0.999997,1.0
scaffolding_nofade,G,10,0.01568711316155769,0.014651652152993789,500,0.006386558208959068,0.027981367359525267,0.005203554513562222,0.029722763888445955,0.999996,1.0
scaffolding_nofade,K,1,0.011696326103489833,0.01147080060814695,500,0.008467562193260275,0.015989046445795383,0.008131075416936044,0.01660472721203325,0.999925,1.0
scaffolding_nofade,K,5,0.013916570209838353,0.013319754238465216,500,0.008457070578130837,0.021149005573838798,0.007842855308384475,0.023193675264429517,0.999959,1.0
scaffolding_nofade,K,10,0.02281847632410288,0.020952977734511463,500,0.010440187843170242,0.04115479059890374,0.009319274754698136,0.045853224437419814,0.9999730000000001,1.0
scaffolding_nofade,M,1,-0.0006489003107340067,-0.0006153162339135751,500,-0.0012600880316934661,-0.0001446248373324149,-0.0014356294232889765,-5.1640734624592576e-05,0.032490000000000005,0.006
scaffolding_nofade,M,5,-0.0005909886231385452,-0.0005601417644861054,500,-0.0013347698849028738,5.3015704689246964e-05,-0.0015989502996061472,0.00013654976743278314,0.060125000000000005,0.072
scaffolding_nofade,M,10,8.909755863924465e-05,-0.00020941750590340618,500,-0.0014441926576860373,0.0026833029622606434,-0.001668133132973137,0.003491471136014074,0.147715,0.394
scaffolding_nofade,R,1,0.003678417926166099,0.0035969637065438372,500,0.0024954830051083063,0.005283362339605113,0.0023684746811312436,0.005949453588440368,0.7831710000000001,1.0
scaffolding_nofade,R,5,0.011131071240718746,0.01076061912043133,500,0.0058744595494517535,0.01755027173228994,0.005355782805444019,0.019955879144067604,0.946359,1.0
scaffolding_nofade,R,10,0.019515194096266186,0.019076628084853078,500,0.008503311677129807,0.03154342883248135,0.007213729954152587,0.033832429546068674,0.97645,1.0
