level,key,metric,contrast,estimate,se,ci_low,ci_high,n_units,p,q_fdr
parcel,40,auc,U-T,0.9500208473641246,0.17942011894785936,0.5974791346958273,1.287096610425417,30,1.1904793192765278e-07,3.345609328177596e-07
parcel,40,auc,S-U,-1.5784181709316647,0.14020750309635663,-1.8654884957745868,-1.320598421106506,30,2.121539392454908e-29,9.092311681949606e-28
parcel,400,auc,S-T,0.07739395218854656,0.5266979450446463,-1.0084402598190492,1.0589462651314063,30,0.88317794625193,0.9097373904360481
parcel,400,auc,U-T,1.990545972884471,0.5030682423939566,0.9855001461354197,2.954716227691495,30,7.595696863641771e-05,0.00016334831964821014
parcel,400,auc,S-U,-1.9131520206959245,0.4549733530851252,-2.764443920904707,-0.9887927963342952,30,2.6110988727439994e-05,5.8786466178101305e-05
parcel,41,auc,S-T,-0.8205019406097354,0.24676382664728783,-1.3189608681889284,-0.3520730986032344,30,0.0008840283540907254,0.0016811949681598583
parcel,41,auc,U-T,1.035439076031069,0.19961552116656822,0.6515630693885791,1.4267747846614989,30,2.1351706517404575e-07,5.863168837731233e-07
parcel,41,auc,S-U,-1.8559410166408044,0.16462075254549974,-2.178602963429366,-1.5527843030611213,30,1.762902257916123e-29,8.46193083799739e-28
parcel,42,auc,S-T,-1.488427752189009,0.23740543544070616,-1.9577911114438575,-1.0291991942323004,30,3.6206848339828256e-10,1.234324375221418e-09
parcel,42,auc,U-T,0.8715221542752374,0.1980244969532071,0.5031601521837549,1.2546060012228115,30,1.077121422850636e-05,2.4952619834377666e-05
parcel,42,auc,S-U,-2.359949906464246,0.17832028741444028,-2.725094132686813,-2.0266576575906257,30,5.55886832934013e-40,1.667660498802039e-37
parcel,43,auc,S-T,-1.2323776392174244,0.31155498588816055,-1.8393192199005286,-0.6248782783164716,30,7.635230113767525e-05,0.00016390476093955332
parcel,43,auc,U-T,0.553436926100711,0.24457122288606564,0.0743113332384791,1.0400676874498371,30,0.02364268490258128,0.03618778301415502
parcel,43,auc,S-U,-1.7858145653181354,0.20893241508780253,-2.2056231684666776,-1.3908562485137022,30,1.2596724754204752e-17,8.997660538717681e-17
parcel,44,auc,S-T,-1.2457191485605539,0.2711860792402234,-1.7737113415956798,-0.6950424514565614,30,4.35673534904246e-06,1.0456164837701903e-05
parcel,44,auc,U-T,0.1793102682129871,0.21543322125293737,-0.2359536739704429,0.610584091508877,30,0.40522601460437957,0.48241192214807094
parcel,44,auc,S-U,-1.425029416773541,0.18712926569424213,-1.807907991805739,-1.0681048044673767,30,2.6325479602274235e-14,1.4040255787879592e-13
parcel,45,auc,S-T,-0.7734569538364658,0.2883770462483107,-1.3577816775166638,-0.2107071718810373,30,0.007316092051433768,0.012092714134601267
parcel,45,auc,U-T,0.6738040984552255,0.1978453480802631,0.2857686943388465,1.0798144917307344,30,0.000659919716693592,0.0012793273990828924
parcel,45,auc,S-U,-1.4472610522916913,0.18558262563517197,-1.8205075489353093,-1.101769116103913,30,6.26608710519371e-15,3.5468417576568174e-14
parcel,46,auc,S-T,-2.0778404546097415,0.3295578536700674,-2.746954438748001,-1.4298404666607332,30,2.883170800949031e-10,9.970619484549963e-10
parcel,46,auc,U-T,0.3583819722579024,0.2391163822599908,-0.12987088783762676,0.816001505614669,30,0.13393166885655083,0.1799753668845028
parcel,46,auc,S-U,-2.436222426867644,0.23451761148940006,-2.9143007234845886,-1.9992857617616953,30,2.8051605682651835e-25,5.803780486065897e-24
parcel,47,auc,S-T,-1.0699313096904786,0.31222895646034143,-1.6783565701554126,-0.45569678937687574,30,0.0006108458932957022,0.0011957831516392213
