tag,form,forgetting,epw,effort,outcome_weights,scenario,tier,mean,median,n,lo90,hi90,lo95,hi95
spec_bounded_weekly_break_0.25_epw1_fixed_low,bounded,weekly_break_0.25,1,fixed_low,learning_first,scaffolding_nofade,2,0.023903483814472916,0.023327585871822855,50,0.01639444470295897,0.031100527287834825,0.015567973210721987,0.031414541096732265
spec_bounded_weekly_break_0.25_epw1_fixed_low,bounded,weekly_break_0.25,1,fixed_low,learning_first,scaffolding_rapid,2,0.032128628412876135,0.03207342410316241,50,0.024526055454779087,0.03908175640518433,0.022004833187642847,0.040930543212056414
spec_bounded_weekly_break_0.25_epw1_fixed_low,bounded,weekly_break_0.25,1,fixed_low,learning_first,substitution,2,-0.13112850924572592,-0.1320047035281063,50,-0.15043493116012613,-0.10397645184090955,-0.1526400448174816,-0.09846846263988267
spec_bounded_weekly_break_0.25_epw1_fixed_low,bounded,weekly_break_0.25,1,fixed_low,autonomy_first,free_choice,2,-0.03794163657351325,-0.037966772715570196,50,-0.04803352128522085,-0.028647939262462386,-0.04835280521037036,-0.027371332661979858
spec_bounded_weekly_break_0.25_epw1_fixed_low,bounded,weekly_break_0.25,1,fixed_low,autonomy_first,scaffolding_nofade,2,0.02597338126804969,0.02578636028480901,50,0.019201351301025446,0.03270614313467819,0.018193099516967487,0.03300830903431881
spec_bounded_weekly_break_0.25_epw1_fixed_low,bounded,weekly_break_0.25,1,fixed_low,autonomy_first,scaffolding_rapid,2,0.04853464233873525,0.047592089204294453,50,0.03980385172218744,0.055830763849068904,0.039281160110356726,0.05628312801106516
spec_bounded_weekly_break_0.25_epw1_fixed_low,bounded,weekly_break_0.25,1,fixed_low,autonomy_first,substitution,2,-0.14717374142069226,-0.1495554502834558,50,-0.179113262273048,-0.10873774180059251,-0.18027458922215933,-0.10710652688601727
spec_bounded_weekly_break_0.25_epw1_fixed_high,bounded,weekly_break_0.25,1,fixed_high,equal,free_choice,2,-0.04203638621121729,-0.04402974484887898,50,-0.05193451888099681,-0.030943671733635963,-0.05453341163752114,-0.030452890414861253
spec_bounded_weekly_break_0.25_epw1_fixed_high,bounded,weekly_break_0.25,1,fixed_high,equal,scaffolding_nofade,2,0.022634558649901982,0.02228880736894296,50,0.015008454855736158,0.030466996749912763,0.013622484750687862,0.03220272819874928
spec_bounded_weekly_break_0.25_epw1_fixed_high,bounded,weekly_break_0.25,1,fixed_high,equal,scaffolding_rapid,2,0.03860413412929415,0.03909876789171962,50,0.029268063348928553,0.046622597617851834,0.027320184511180578,0.04685753531364665
spec_bounded_weekly_break_0.25_epw1_fixed_high,bounded,weekly_break_0.25,1,fixed_high,equal,substitution,2,-0.17405831506883412,-0.1752723933713364,50,-0.1967979991042412,-0.14606000640294203,-0.19820376094669487,-0.14367242218617973
spec_bounded_weekly_break_0.25_epw1_fixed_high,bounded,weekly_break_0.25,1,fixed_high,learning_first,free_choice,2,-0.04102409985207242,-0.04310036937906357,50,-0.05109794829830657,-0.029036260016205215,-0.05429030498258023,-0.028773734121396534
spec_bounded_weekly_break_0.25_epw1_fixed_high,bounded,weekly_break_0.25,1,fixed_high,learning_first,scaffolding_nofade,2,0.024248689469766226,0.02389008217862393,50,0.015912861202452132,0.03324284505321855,0.014099113703301093,0.034732655725435414
spec_bounded_weekly_break_0.25_epw1_fixed_high,bounded,weekly_break_0.25,1,fixed_high,learning_first,scaffolding_rapid,2,0.03489580225492474,0.03555172587400843,50,0.024989172126766747,0.04380700542101782,0.021646553540312436,0.044617506510235064
spec_bounded_weekly_break_0.25_epw1_fixed_high,bounded,weekly_break_0.25,1,fixed_high,learning_first,substitution,2,-0.1735440805851994,-0.1756674269740375,50,-0.19516767840477428,-0.1473137551592747,-0.19606418686931099,-0.1418717963099808
spec_bounded_weekly_break_0.25_epw1_fixed_high,bounded,weekly_break_0.25,1,fixed_high,autonomy_first,free_choice,2,-0.046231141889505896,-0.04787453194577154,50,-0.055909719429184115,-0.03534302411093336,-0.0590732266323354,-0.0336411205771347
spec_bounded_weekly_break_0.25_epw1_fixed_high,bounded,weekly_break_0.25,1,fixed_high,autonomy_first,scaffolding_nofade,2,0.02672139082440393,0.026571556620474716,50,0.018268251116324786,0.03562419270217454,0.016962972276708115,0.037165572030412465
spec_bounded_weekly_break_0.25_epw1_fixed_high,bounded,weekly_break_0.25,1,fixed_high,autonomy_first,scaffolding_rapid,2,0.05414172612180256,0.054746085960737996,50,0.04479116425129446,0.06297145804015199,0.04371169966919174,0.06400753264170392
spec_bounded_weekly_break_0.25_epw1_fixed_high,bounded,weekly_break_0.25,1,fixed_high,autonomy_first,substitution,2,-0.19463275779767783,-0.19803385687727898,50,-0.22136078552024557,-0.1575433638713999,-0.22368369076055306,-0.1487706443054689
spec_bounded_weekly_break_0.25_epw5_drawn,bounded,weekly_break_0.25,5,drawn,equal,free_choice,2,-0.021755305376378514,-0.0209677879603856,50,-0.03570248333750028,-0.006945955272816168,-0.037408963099549906,-0.006367189127017249
spec_bounded_weekly_break_0.25_epw5_drawn,bounded,weekly_break_0.25,5,drawn,equal,scaffolding_nofade,2,0.009085490888195385,0.007983310097054351,50,0.002845395137524155,0.01906212992081766,0.00253656675861501,0.02020008249067566
spec_bounded_weekly_break_0.25_epw5_drawn,bounded,weekly_break_0.25,5,drawn,equal,scaffolding_rapid,2,0.0372815568081933,0.035326483123036524,50,0.019713999115255593,0.05774129193802847,0.01796978868017293,0.05941159688408911
spec_bounded_weekly_break_0.25_epw5_drawn,bounded,weekly_break_0.25,5,drawn,equal,substitution,2,-0.15444908058038145,-0.15715808396834216,50,-0.21593904948252313,-0.07999107545658668,-0.22077170002404026,-0.07370572829592771
spec_bounded_weekly_break_0.25_epw5_drawn,bounded,weekly_break_0.25,5,drawn,learning_first,free_choice,2,-0.020310973378114903,-0.01881667571604178,50,-0.03305846940641486,-0.006302108497637333,-0.03490901638217296,-0.005892473761328396
spec_bounded_weekly_break_0.25_epw5_drawn,bounded,weekly_break_0.25,5,drawn,learning_first,scaffolding_nofade,2,0.009699097731788205,0.008545773198137853,50,0.0034457301164447546,0.019698614838846024,0.0030676421546094097,0.02105987328995527
spec_bounded_weekly_break_0.25_epw5_drawn,bounded,weekly_break_0.25,5,drawn,learning_first,scaffolding_rapid,2,0.03325663997439488,0.03106252462300069,50,0.018259328694272717,0.05398275020559896,0.015508024450963043,0.05543639157611445
spec_bounded_weekly_break_0.25_epw5_drawn,bounded,weekly_break_0.25,5,drawn,learning_first,substitution,2,-0.14911402168739105,-0.15004023875839934,50,-0.21144466289546873,-0.07957921069226842,-0.21684560800868558,-0.07210774607950834
spec_bounded_weekly_break_0.25_epw5_drawn,bounded,weekly_break_0.25,5,drawn,autonomy_first,free_choice,2,-0.02568504803506333,-0.02522455598980182,50,-0.041777136987754454,-0.008632318481510227,-0.043562134471822216,-0.007725129960595577
spec_bounded_weekly_break_0.25_epw5_drawn,bounded,weekly_break_0.25,5,drawn,autonomy_first,scaffolding_nofade,2,0.01104522814142813,0.009845072260708227,50,0.0032475259573665136,0.023396532496806188,0.0028867693095346843,0.024653646771420658
spec_bounded_weekly_break_0.25_epw5_drawn,bounded,weekly_break_0.25,5,drawn,autonomy_first,scaffolding_rapid,2,0.05599878749935772,0.053434698173734176,50,0.030616680615078544,0.08290346890345744,0.029416382445275543,0.08492838201129062
spec_bounded_weekly_break_0.25_epw5_drawn,bounded,weekly_break_0.25,5,drawn,autonomy_first,substitution,2,-0.18128472923793762,-0.18521018979281662,50,-0.24814461266262255,-0.09503897012007353,-0.25523425063021593,-0.08639145434516386
spec_bounded_weekly_break_0.25_epw5_fixed_low,bounded,weekly_break_0.25,5,fixed_low,equal,free_choice,2,-0.021697900831683894,-0.020059309980492965,50,-0.037703262072520054,-0.009115497904436312,-0.049906721112320626,-0.007701771514076637
spec_bounded_weekly_break_0.25_epw5_fixed_low,bounded,weekly_break_0.25,5,fixed_low,equal,scaffolding_nofade,2,0.010453174894991169,0.009308750000753586,50,0.003788876952448862,0.021793303923886963,0.002586995722740604,0.02215179447833007
spec_bounded_weekly_break_0.25_epw5_fixed_low,bounded,weekly_break_0.25,5,fixed_low,equal,scaffolding_rapid,2,0.04056452378753133,0.04071703823262228,50,0.02324829365116493,0.06143711462993183,0.020688840456139647,0.06570768510813783
spec_bounded_weekly_break_0.25_epw5_fixed_low,bounded,weekly_break_0.25,5,fixed_low,equal,substitution,2,-0.14869590375314615,-0.15331674510829732,50,-0.2079353554008257,-0.09844890088836414,-0.21452001048359678,-0.08024305023661397
spec_bounded_weekly_break_0.25_epw5_fixed_low,bounded,weekly_break_0.25,5,fixed_low,learning_first,free_choice,2,-0.02010000863098517,-0.018615327734490705,50,-0.03534112116530716,-0.008576274190347719,-0.04660072239723223,-0.007257802011501957
spec_bounded_weekly_break_0.25_epw5_fixed_low,bounded,weekly_break_0.25,5,fixed_low,learning_first,scaffolding_nofade,2,0.01109542430546227,0.009760259509177551,50,0.004343554144635019,0.02240504420488022,0.0030911587393000674,0.022928296908338804
spec_bounded_weekly_break_0.25_epw5_fixed_low,bounded,weekly_break_0.25,5,fixed_low,learning_first,scaffolding_rapid,2,0.037099527975951306,0.037529193780289474,50,0.02164688698726844,0.056005889959569385,0.02006595728273917,0.05784118985311762
spec_bounded_weekly_break_0.25_epw5_fixed_low,bounded,weekly_break_0.25,5,fixed_low,learning_first,substitution,2,-0.14256921985755036,-0.1457676345659738,50,-0.2019760715235803,-0.0952641472909922,-0.2077902515901919,-0.07767493601882884
spec_bounded_weekly_break_0.25_epw5_fixed_low,bounded,weekly_break_0.25,5,fixed_low,autonomy_first,free_choice,2,-0.02542405884556601,-0.024350558040674757,50,-0.04287426450284728,-0.011013834267839641,-0.05290281766750852,-0.00931743438951449
spec_bounded_weekly_break_0.25_epw5_fixed_low,bounded,weekly_break_0.25,5,fixed_low,autonomy_first,scaffolding_nofade,2,0.012715350970273674,0.011576496309701666,50,0.004416052207862215,0.026945292394614722,0.0029867832240017505,0.027021872134987423
spec_bounded_weekly_break_0.25_epw5_fixed_low,bounded,weekly_break_0.25,5,fixed_low,autonomy_first,scaffolding_rapid,2,0.059872714584447845,0.06040639041588454,50,0.036025079502603405,0.08734455858322816,0.03281246358286631,0.09707209375994616
spec_bounded_weekly_break_0.25_epw5_fixed_low,bounded,weekly_break_0.25,5,fixed_low,autonomy_first,substitution,2,-0.17410802942326545,-0.18048641160578,50,-0.23426819275612917,-0.11555995594617897,-0.23588390649587357,-0.09478473947743325
spec_bounded_weekly_break_0.25_epw5_fixed_high,bounded,weekly_break_0.25,5,fixed_high,equal,free_choice,2,-0.016812786633380584,-0.014346513489953921,50,-0.03307341103313725,-0.005838653175152425,-0.04630398704738491,-0.0052247693315854845
spec_bounded_weekly_break_0.25_epw5_fixed_high,bounded,weekly_break_0.25,5,fixed_high,equal,scaffolding_nofade,2,0.006922687377191875,0.005593677615047981,50,0.002070138184810641,0.015927497147464872,0.0014998106304948806,0.01637528676968017
spec_bounded_weekly_break_0.25_epw5_fixed_high,bounded,weekly_break_0.25,5,fixed_high,equal,scaffolding_rapid,2,0.030811887373029583,0.029982509317658636,50,0.015683120956288127,0.051305202877753704,0.014219982264110025,0.059325836678004965
