tag,form,forgetting,epw,effort,wpm,metric,winsorize,network_weights,mechanism,scenario,network,tier,mean,median,n,lo90,hi90,lo95,hi95
spec_brief_weekly_break_1.0_epw5_fixed_high,brief,weekly_break_1.0,5,fixed_high,220,auc,True,equal,A,substitution,Cont,3,1.236543243201171,1.1947532874232314,20,0.45093912915443984,2.1459798144290056,0.3282869769576494,2.435283168499744
spec_brief_weekly_break_1.0_epw5_fixed_high,brief,weekly_break_1.0,5,fixed_high,220,auc,False,area,A,substitution,Cont,3,1.521854709579954,1.438368056270608,20,0.6415742284389693,2.546035079412157,0.5089348280731005,2.8820829041918805
spec_brief_weekly_break_1.0_epw5_fixed_high,brief,weekly_break_1.0,5,fixed_high,220,auc,False,equal,A,substitution,Cont,3,1.3363759715636547,1.2748184691118467,20,0.5168187375263688,2.291873163202973,0.38866195118352687,2.6019587687502295
spec_brief_weekly_break_1.0_epw5_fixed_high,brief,weekly_break_1.0,5,fixed_high,220,mean,True,area,A,substitution,Cont,3,-0.2669251723506788,-0.30650375205921193,20,-0.5554395980459061,0.08292354925731728,-0.604244993736271,0.15078585806375697
spec_brief_weekly_break_1.0_epw5_fixed_high,brief,weekly_break_1.0,5,fixed_high,220,mean,True,equal,A,substitution,Cont,3,-0.39964356287670355,-0.44404639659395195,20,-0.6575639788564263,-0.049480941560565206,-0.6982499622958745,-0.030974551450544733
spec_brief_weekly_break_1.0_epw5_fixed_high,brief,weekly_break_1.0,5,fixed_high,220,mean,False,area,A,substitution,Cont,3,-0.11574698388362666,-0.12851295445967817,20,-0.4481181920256827,0.2613873287262319,-0.5111538025967032,0.370963881597406
spec_brief_weekly_break_1.0_epw5_fixed_high,brief,weekly_break_1.0,5,fixed_high,220,mean,False,equal,A,substitution,Cont,3,-0.21987407508195175,-0.2427936838711114,20,-0.5286702187623485,0.13252511785658752,-0.5858212709044941,0.21582588292054863
spec_brief_weekly_break_1.0_epw5_fixed_high,brief,weekly_break_1.0,5,fixed_high,220,peak,True,area,A,substitution,Cont,3,5.267954520785473,4.689169009304586,20,2.831819187575757,8.566444705452758,2.726399491982344,9.20659375980268
spec_brief_weekly_break_1.0_epw5_fixed_high,brief,weekly_break_1.0,5,fixed_high,220,peak,True,equal,A,substitution,Cont,3,5.2243244209308966,4.661800605901737,20,2.8120377563225283,8.434614930941132,2.71359127033538,9.075589249179515
spec_brief_weekly_break_1.0_epw5_fixed_high,brief,weekly_break_1.0,5,fixed_high,220,peak,False,area,A,substitution,Cont,3,5.3050654243523185,4.7159981566976885,20,2.848895510492309,8.63476327931761,2.742935909969115,9.280421263896367
spec_brief_weekly_break_1.0_epw5_fixed_high,brief,weekly_break_1.0,5,fixed_high,220,peak,False,equal,A,substitution,Cont,3,5.23253766285731,4.662416677694982,20,2.811961038475728,8.456573104846951,2.7133472373731586,9.099087548540732
