scenario,outcome,year,mean,median,n,lo90,hi90,lo95,hi95,prsup,share_draws_positive,episodes_per_week,run
free_choice,G,5,-0.020558861405377847,-0.019918644587037612,500,-0.03189005738143263,-0.010705248889181028,-0.035864506665198435,-0.009714713292483832,0.006342,0.0,3,v_main
free_choice,G,10,-0.0323832633115444,-0.032283956750200064,500,-0.05219287631466939,-0.014096880157457576,-0.057268692693432224,-0.011976301034386056,0.0037120000000000005,0.0,3,v_main
free_choice,K,1,-0.007036520846508604,-0.006788383378868328,500,-0.011034980747210626,-0.003967669862072616,-0.012184064946387994,-0.00369464387717012,0.337903,0.0,3,v_main
free_choice,K,5,-0.009418135082789889,-0.008589693287165003,500,-0.018047401676067897,-0.003320261953648714,-0.021895499107550582,-0.002613034920766155,0.40587100000000004,0.0,3,v_main
free_choice,K,10,-0.02063807837015185,-0.01814713181938088,500,-0.042845343186730195,-0.004741193258623948,-0.04722103796023325,-0.0036458631330384566,0.312183,0.0,3,v_main
free_choice,far,1,-0.01019777329569187,-0.010029443264002067,500,-0.01436831451688615,-0.006963443732173407,-0.015188387156651823,-0.006568973003428954,0.155255,0.0,3,v_main
free_choice,far,5,-0.013667277645897804,-0.013218380074813067,500,-0.020774014614707226,-0.007589159063221546,-0.023357870755471275,-0.006747687589362321,0.07889199999999999,0.0,3,v_main
free_choice,far,10,-0.01862749357206463,-0.01884888420320627,500,-0.02737960373041833,-0.009308720662272856,-0.028695281407679976,-0.008076535620401533,0.051882000000000005,0.0,3,v_main
free_choice,p_request,1,0.010608140165430605,0.010271323148351769,500,0.006356522759885638,0.016019368065187074,0.006016212802454422,0.01716329068518719,0.922908,1.0,3,v_main
free_choice,p_request,5,0.016486771331342315,0.016037006770290168,500,0.007167903564788954,0.02718494815027588,0.006229928773742452,0.030989146840158802,0.9485029999999999,1.0,3,v_main
free_choice,p_request,10,0.024504544234285844,0.025254145931273595,500,0.009784355915642301,0.03760815573488274,0.00807397557139837,0.03903067822824854,0.9644289999999999,1.0,3,v_main
free_choice,retention,1,-0.007812060092704818,-0.0076534775821003554,500,-0.01122555801925311,-0.0051724720541212205,-0.01209108071333319,-0.004857926514350535,0.139563,0.0,3,v_main
free_choice,retention,5,-0.012578868550117027,-0.012197333780546842,500,-0.01993204594232888,-0.0063902858875582655,-0.023125161668024943,-0.005645060441590797,0.06301299999999999,0.0,3,v_main
free_choice,retention,10,-0.019788241234744562,-0.019946802692881918,500,-0.031882166047966835,-0.00842549615914854,-0.033890142611916155,-0.0071000999941466265,0.041892,0.0,3,v_main
free_choice,unaided,1,-0.009084518771134583,-0.008651575593279167,500,-0.014417464948372927,-0.005404720844561085,-0.016165263195454145,-0.004935092871617436,0.155255,0.0,3,v_main
free_choice,unaided,5,-0.01546987260858025,-0.014653502047862534,500,-0.026740771846621464,-0.006581534902366755,-0.031367116563114666,-0.00575068265155633,0.078892,0.0,3,v_main
free_choice,unaided,10,-0.026339870930251634,-0.026162958432298124,500,-0.04391800423770965,-0.009653876245949494,-0.04738340421983215,-0.0079227092746776,0.051882000000000005,0.0,3,v_main
scaffolding_nofade,D,1,-0.0053534259314917745,-0.005089719160590773,500,-0.008493609067799298,-0.0032413662836922553,-0.009215175691408084,-0.0029964476274996726,3e-06,0.0,3,v_main
scaffolding_nofade,D,5,-0.01093480425970819,-0.010517491638566292,500,-0.019315938962181995,-0.004454536274744133,-0.02169708867909672,-0.003826592618134114,0.0,0.0,3,v_main
scaffolding_nofade,D,10,-0.020325684667222448,-0.01934005699098701,500,-0.03650288805059881,-0.006661081146540221,-0.03919837957936834,-0.005100007241905172,2e-06,0.0,3,v_main
scaffolding_nofade,G,1,0.005019817412603425,0.0048870363402067785,500,0.003548471438840759,0.007114917897883922,0.003362425647327874,0.007724905350602248,0.999962,1.0,3,v_main
scaffolding_nofade,G,5,0.008847864271781686,0.008522645823899819,500,0.004651311739734219,0.01445980450231622,0.004292266788307258,0.01573369841118284,0.999997,1.0,3,v_main
